principal-invest,institution,title,duration,funding,areas,Financial_year,Round,Year,Institution_code,Item_no,Batch_no
Prof LI Si Ming,Hong Kong Baptist University,Land and Housing Policies in Post-Handover Hong Kong : Political Economy and Urban Space,12,416760.0,Land and Housing,2013-14,First Round,2013,A2,001,13A
"Prof CHAN Cheung Ming, Alfred ",Lingnan University,A Study on the Preferences and Feasibility of Optional Retirement in Hong Kong: A Human Resources Management Perspective,9,544255.0,Livelihood Issues,2013-14,First Round,2013,A3,002,13A
"Prof CHAN Cheung Ming, Alfred",Lingnan University,Retirement Planning for Pre-retiree in Hong Kong,9,516954.0,Livelihood Issues,2013-14,First Round,2013,A3,003,13A
Dr LI Pang Kwong,Lingnan University,The Governing System of Pre-1997 Hong Kong: Archival Study of Selected Policies / Events,12,443497.5,Political Development and Governance,2013-14,First Round,2013,A3,004,13A
"Prof Catherine 
A MCBRIDE CHANG ",The Chinese University of Hong Kong,Processes of Children's Literacy Acquisition in Chinese as a Second Language,24,461088.4,Livelihood Issues,2013-14,First Round,2013,A4,001,13A
"Prof CHAN Hon Wan, Edwin ",The Hong Kong Polytechnic University,Sustainable Planning Criteria (SPC) for Age-friendly Precincts (AFP) in the New Development Areas (NDAs) of Hong Kong,12,528471.0,"Land and Housing, Livelihood Issues",2013-14,First Round,2013,A6,006,13A
Prof Albert P. C. CHAN,The Hong Kong Polytechnic University,Improving Safety Communication of Ethnic Minorities in the Construction Industry,15,488750.0,Livelihood Issues,2013-14,First Round,2013,A6,007,13A
Dr LU Lin ,The Hong Kong Polytechnic University,Study on the Development Potential and Energy Incentives of Rooftop Solar Photovoltaic Applications in Hong Kong,12,424120.0,Environmental Protection,2013-14,First Round,2013,A6,010,13A
Dr GUO Hai,The Hong Kong Polytechnic University,Can We Get Rid of Smoggy Days in Hong Kong: Formation Mechanism and Control Strategies?,12,662969.3,Environmental Protection,2013-14,First Round,2013,A6,012,13A
Dr WANG Yuhong ,The Hong Kong Polytechnic University,Development of a Policy for Optimizing the Use of Inert Solid Wastes in Road Pavement Construction,18,373635.0,Environmental Protection,2013-14,First Round,2013,A6,013,13A
Dr ZHU Ling,The Hong Kong Polytechnic University,"Is the Polluter Paying? Assessing the Application of the ""Polluter Pays"" Principle to Ship-Source Pollution in Hong Kong",9,258750.0,Environmental Protection,2013-14,First Round,2013,A6,022,13A
Dr WONG Man Sing,The Hong Kong Polytechnic University,A Remote Sensing Study of Solar Energy Supply in Cloud-prone Areas of Hong Kong,12,359869.5,Others,2013-14,First Round,2013,A6,024,13A
Prof Eric W. T. NGAI,The Hong Kong Polytechnic University,Green Information Technology Adoption in Hong Kong: An Empirical Analysis and Policy Implications for Sustainable Development,12,329906.3,Environmental Protection,2013-14,First Round,2013,A6,025,13A
Prof QIU Hanqin,The Hong Kong Polytechnic University,Towards Sustainability: Exploring the Social and Economic Dimensions of Travel to Hong Kong by Mainland Chinese,12,428490.0,Economic Development,2013-14,First Round,2013,A6,029,13A
"Dr TSE Sze Ming, Tony ",The Hong Kong Polytechnic University,"Shaping Tourism Development: Anticipating Changes and Impacts, and Managing Consequences and Conflicts",12,269100.0,Economic Development,2013-14,First Round,2013,A6,030,13A
Prof ZHANG Xueqing,The Hong Kong University of Science and Technology,Developing an Integrated Construction Waste Management Policy Framework in Hong Kong,12,485415.0,Environmental Protection,2013-14,First Round,2013,A7,001,13A
Dr LI Ling Hin,The University of Hong Kong,Granger Causality Analysis of Land Supply and Housing Market Performance - Implications for Long Term Urban Land Policy in Hong Kong,12,519570.0,Land and Housing,2013-14,First Round,2013,A8,002,13A
Prof Paul S. F. YIP,The University of Hong Kong,A Study of Aspiration of Fertility amongst Married Women in Hong Kong (Age 15-49),9,365700.0,Livelihood Issues,2013-14,First Round,2013,A8,004,13A
Prof Paul S. F. YIP,The University of Hong Kong,A Study of Movement of Type 1 and 2 Babies in Hong Kong,8,308706.0,Livelihood Issues,2013-14,First Round,2013,A8,005,13A
"Prof LAU Sau Shing, Patrick ",Dashun Policy Research Centre,Age-friendly Housing Policies,10,579383.0,Land and Housing,2013-14,First Round,2013,C,002,13A
Prof WU Xiaogang,The Hong Kong University of Science and Technology,Dynamics of Poverty in Hong Kong: A Supplementary Survey,12,423200.0,Livelihood Issues,2014-15,First Round,2013,A7,005,14A
"Prof John 
BACON SHONE",The University of Hong Kong,"Language Use, Proficiency and Attitudes in Hong Kong",12,714985.0,Livelihood Issues,2014-15,First Round,2013,A8,006,14A
Dr FU King Wa,The University of Hong Kong,"Can Online Opinion Reflect Public Opinion? An Investigation into the Interplays between Online Opinion, Public Opinion, and Mass Media",24,556888.0,Political Development and Governance,2014-15,First Round,2013,A8,009,14A
"Dr LUM Yat Sang, Terry  ",The University of Hong Kong,Family Caregiving and Long-term Care Decision of People with Dementia in Hong Kong,9,332426.7,Livelihood Issues,2014-15,First Round,2013,A8,010,14A
Mr CHEUNG Wai Lam,One Country Two Systems Research Institute,Assessment of the Impact and Opportunities of the HK-Zhuhai-Macao Bridge to HK in the New Economic Situation,6,588000.0,Economic Development,2014-15,First Round,2013,C,003,14A
"Prof HSU 
Hui Chun, Cathy",The Hong Kong Polytechnic University,Enhancing Hong Kong’s Competitiveness as a Regional Cruise Hub from a Policy Perspective,12,556600.0,Economic Development,2014-15,Second Round,2013,A6,032,14C
Prof WU Xiaogang,The Hong Kong University of Science and Technology,Hong Kong Immigrants in Shenzhen: Facts and Challenges,12,229452.6,"Livelihood Issues, Economic Development, Application of Innovation and Technology",2014-15,Second Round,2014,A7,007,14C
"Mr LEUNG Cheuk Fai, Jimmy",The University of Hong Kong,Industrial Land Use Changes in Response to Economic Restructuring in Hong Kong,12,704812.0,Land and Housing,2014-15,Second Round,2013,A8,012,14B
"Prof LAI 
Wai Chung, Lawrence",The University of Hong Kong,Repeated Planning Applications by Developers under Statutory Zoning: A Hong Kong Case Study of Delays in Private Residential Development,12,640366.0,Land and Housing,2014-15,Second Round,2013,A8,014,14C
"Dr CHUI Ting Fong, May",The University of Hong Kong,Developing Sustainable Hong Kong through Low Impact Development: from Science to Innovation Policy,12,455975.0,Environmental Protection,2014-15,Second Round,2014,A8,016,14C
Ir Dr CHOI Yu Leuk,Hong Kong Academy of Engineering Sciences,Enhancing Policy on Building Maintenance: Solving the Residential Seepage Problem,12,737150.0,"Land and Housing, Livelihood Issues, Political Development and Governance, Economic Development",2014-15,Second Round,2014,C,006,14C
"Dr CHAN Ho Yan, Clara",City University of Hong Kong,The Drafting Policy for Hong Kong's Bilingual Legislation: A Communicative Approach,12,318036.6,Others,2014-15,Third Round,2014,A1,004,14D
"Dr CHEUNG Chi Kin, Kelvin",The Hong Kong Institute of Education*,Poverty of Ethnic Minority Children in Hong Kong,12,322414.0,Livelihood Issues,2014-15,Third Round,2014,A5,003,14D
Dr CHAN Lok Shun,City University of Hong Kong,Investigating the Possibility of Incorporating The Effect of Photovoltaic Panel and Photovoltaic Glazing Systems in the OTTV (Overall Thermal Transfer Value) Calculation in Hong Kong,9,157895.0,Environmental Protection,2014-15,Fourth Round,2014,A1,008,14E
Dr CHANG Zheng,City University of Hong Kong,Student Visa Holders in Rental Market: A Study of Mainland Students Housing Choice and Their Impact on Hong Kong's Housing Market,12,294883.0,Land and Housing,2014-15,Fourth Round,2014,A1,009,14E
"Prof Richard 
Mark WALKER",City University of Hong Kong,"Performance Information Use: Experiments on Performance Dimensions, Communication and Data Sources in Education and Solid Waste Recycling",12,597264.0,"Political Development and Governance, Application of Innovation and Technology, Environmental Protection",2014-15,Fourth Round,2014,A1,010,14E
"Prof CHIU Wing Kai, Stephen",The Chinese University of Hong Kong,"Vocational-oriented Education at Senior Secondary Level: Perceptions, Decision-making, and Life Planning",12,691210.95,"Youth Development, Livelihood Issues",2014-15,Fourth Round,2014,A4,003,14E
Prof CHOU Kee Lee,The Hong Kong Institute of Education*,How to Increase the Demand for Annuity in Hong Kong: A Study of Middle-Aged Adults,15,767917.1,Livelihood Issues,2014-15,Fourth Round,2014,A5,005,14E
"Ir Dr MUI Kwok Wai, Horace",The Hong Kong Polytechnic University,Feasibility Study of Implementing Indoor Air Quality Index in Hong Kong,24,365700.0,Environmental Protection,2014-15,Fourth Round,2014,A6,038,14E
Dr CHAN Tak Kwong,The University of Hong Kong,"Redeveloping a Governance Model of the Complaint-handling Process for Sufficient, Accountable and Transparent Regulation of Medical Professionals in Hong Kong",12,911536.0,Political Development and Governance,2014-15,Fourth Round,2013,A8,013,14E
"Prof LAW LUK Wai Ying, Nancy",The University of Hong Kong,"e-Learning in Formal, Informal and Open Learning Contexts: A Study of Global Trends, Policy Options and Their Implications for Sustainable Development in Hong Kong",12,885488.5,Application of Innovation and Technology,2014-15,Fourth Round,2014,A8,019,14E
Dr PAN Wei,The University of Hong Kong,"A Possible Zero Carbon Building Policy for Hong Kong: Opportunities, Risks and Recommendations",12,408894.0,Environmental Protection,2014-15,Fourth Round,2014,A8,020,14E
"Dr Miguel 
Angel MARTINEZ LOPEZ",City University of Hong Kong,How to Improve Participatory Mechanisms in The Processes of Urban Redevelopment: The Case of Kowloon East (Hong Kong),12,498251.3,Political Development and Governance,2015-16,First Round,2014,A1,011,15A
